States,Zone,Period,Year,temp_change,Baseline mean
Daman and Diu,West,Jun,1951,-0.00999999999999801,29.52
Daman and Diu,West,Jul,1951,0.5200000000000031,28.08
Daman and Diu,West,Aug,1951,-0.030000000000001137,27.34
Daman and Diu,West,Sep,1951,0.6199999999999974,27.51
Daman and Diu,West,Oct,1951,0.6700000000000017,28.25
Daman and Diu,West,Nov,1951,0.43000000000000327,26.49
Daman and Diu,West,Dec,1951,-0.3100000000000023,23.64
Daman and Diu,West,Annual,1951,-0.1700000000000017,26.5
Daman and Diu,West,Winter,1951,-0.9199999999999982,22.33
Daman and Diu,West,Summer,1951,-0.7100000000000009,27.51
Daman and Diu,West,Monsoon,1951,0.28000000000000114,28.11
Daman and Diu,West,Post Monsoon,1951,0.26000000000000156,26.13
Delhi,North,Jan,1951,-0.75,14.16
Delhi,North,Feb,1951,-0.9400000000000013,17.14
Delhi,North,Mar,1951,-0.14000000000000057,22.72
Delhi,North,Apr,1951,-2.539999999999999,28.82
Delhi,North,May,1951,-0.2600000000000051,32.52
Delhi,North,Jun,1951,0.020000000000003126,33.55
Delhi,North,Jul,1951,1.240000000000002,30.9
Delhi,North,Aug,1951,0.3099999999999987,29.73
Delhi,North,Sep,1951,0.6099999999999994,29.22
Delhi,North,Oct,1951,2.1900000000000013,26.33
Delhi,North,Nov,1951,0.8299999999999983,20.69
Delhi,North,Dec,1951,0.2699999999999996,15.67
Delhi,North,Annual,1951,0.0799999999999983,25.12
Delhi,North,Winter,1951,-0.8399999999999999,15.65
Delhi,North,Summer,1951,-0.9800000000000004,28.02
Delhi,North,Monsoon,1951,0.5499999999999972,30.85
Delhi,North,Post Monsoon,1951,1.0899999999999999,20.9
Goa,West,Jan,1951,-0.6799999999999997,24.88
Goa,West,Feb,1951,-0.9000000000000021,25.76
Goa,West,Mar,1951,-0.240000000000002,27.69
Goa,West,Apr,1951,-0.8399999999999999,29.23
Goa,West,May,1951,-0.6000000000000014,29.42
Goa,West,Jun,1951,-0.6699999999999982,27.06
Goa,West,Jul,1951,-0.11999999999999744,25.83
Goa,West,Aug,1951,0.04999999999999716,25.76
Goa,West,Sep,1951,0.46999999999999886,26.09
Goa,West,Oct,1951,0.379999999999999,27.01
Goa,West,Nov,1951,0.4400000000000013,26.59
Goa,West,Dec,1951,-0.7300000000000004,25.51
Goa,West,Annual,1951,-0.28999999999999915,26.74
Goa,West,Winter,1951,-0.7899999999999991,25.32
Goa,West,Summer,1951,-0.5600000000000023,28.78
Goa,West,Monsoon,1951,-0.07000000000000028,26.19
Goa,West,Post Monsoon,1951,0.029999999999997584,26.37
Gujarat,West,Jan,1951,-0.9499999999999993,19.86
Gujarat,West,Feb,1951,-1.1499999999999986,22.2
Gujarat,West,Mar,1951,-0.35999999999999943,26.71
Gujarat,West,Apr,1951,-1.6099999999999994,30.33
Gujarat,West,May,1951,-0.509999999999998,32.44
Gujarat,West,Jun,1951,0.010000000000001563,31.68
Gujarat,West,Jul,1951,0.8200000000000003,29.13
Gujarat,West,Aug,1951,-0.030000000000001137,28.01
Gujarat,West,Sep,1951,0.8200000000000003,28.36
Gujarat,West,Oct,1951,0.8500000000000014,28.43
Gujarat,West,Nov,1951,0.48999999999999844,25.01
Gujarat,West,Dec,1951,-0.25,21.41
Gujarat,West,Annual,1951,-0.16000000000000014,26.97
Gujarat,West,Winter,1951,-1.0500000000000007,21.03
Gujarat,West,Summer,1951,-0.8299999999999983,29.83
Gujarat,West,Monsoon,1951,0.3999999999999986,29.3
Gujarat,West,Post Monsoon,1951,0.35999999999999943,24.95
Haryana,North,Jan,1951,-0.7400000000000002,13.93
Haryana,North,Feb,1951,-1.0600000000000023,16.85
Haryana,North,Mar,1951,-0.1700000000000017,22.32
Haryana,North,Apr,1951,-2.6000000000000014,28.37
Haryana,North,May,1951,-0.259999999999998,32.37
Haryana,North,Jun,1951,-0.010000000000005116,33.56
Haryana,North,Jul,1951,1.1800000000000033,30.91
Haryana,North,Aug,1951,0.3000000000000007,29.71
Haryana,North,Sep,1951,0.7199999999999989,29.16
Haryana,North,Oct,1951,2.3200000000000003,26.14
Haryana,North,Nov,1951,0.870000000000001,20.36
Haryana,North,Dec,1951,0.3000000000000007,15.5
Haryana,North,Annual,1951,0.07000000000000028,24.93
Haryana,North,Winter,1951,-0.9000000000000004,15.39
Haryana,North,Summer,1951,-1.0100000000000016,27.69
Haryana,North,Monsoon,1951,0.5399999999999991,30.84
Haryana,North,Post Monsoon,1951,1.1599999999999966,20.67
Himachal Pradesh,North,Jan,1951,-0.71,-0.14
Himachal Pradesh,North,Feb,1951,-1.21,1.44
Himachal Pradesh,North,Mar,1951,-0.040000000000000036,6.11
Himachal Pradesh,North,Apr,1951,-2.629999999999999,10.85
Himachal Pradesh,North,May,1951,-0.4599999999999991,14.09
Himachal Pradesh,North,Jun,1951,-0.509999999999998,16.88
Himachal Pradesh,North,Jul,1951,0.5399999999999991,17.5
Himachal Pradesh,North,Aug,1951,0.26000000000000156,16.9
Himachal Pradesh,North,Sep,1951,0.4300000000000015,14.95
Himachal Pradesh,North,Oct,1951,2.2200000000000006,10.86
Himachal Pradesh,North,Nov,1951,0.8300000000000001,5.9
Himachal Pradesh,North,Dec,1951,0.4200000000000004,2.32
Himachal Pradesh,North,Annual,1951,-0.08000000000000007,9.81
Himachal Pradesh,North,Winter,1951,-0.97,0.66
Himachal Pradesh,North,Summer,1951,-1.0399999999999991,10.35
Himachal Pradesh,North,Monsoon,1951,0.17999999999999972,16.56
Himachal Pradesh,North,Post Monsoon,1951,1.1599999999999993,6.36
India,,Jan,1951,-0.7900000000000027,17.53
India,,Feb,1951,-0.879999999999999,20.02
India,,Mar,1951,-0.38000000000000256,24.28
India,,Apr,1951,-1.4000000000000021,28.14
India,,May,1951,-0.3000000000000007,30.25
India,,Jun,1951,-0.17999999999999972,29.46
India,,Jul,1951,0.35999999999999943,27.26
India,,Aug,1951,0.05000000000000071,26.59
India,,Sep,1951,0.35999999999999943,26.46
India,,Oct,1951,1.1499999999999986,25.05
India,,Nov,1951,0.3299999999999983,21.44
India,,Dec,1951,-0.3000000000000007,18.26
India,,Annual,1951,-0.16000000000000014,24.56
India,,Winter,1951,-0.8299999999999983,18.77
India,,Summer,1951,-0.6999999999999993,27.56
India,,Monsoon,1951,0.14999999999999858,27.44
India,,Post Monsoon,1951,0.40000000000000213,21.58
Jharkhand,East,Jan,1951,-0.7199999999999989,17.06
Jharkhand,East,Feb,1951,-0.41000000000000014,19.91
Jharkhand,East,Mar,1951,-0.39000000000000057,24.89
Jharkhand,East,Apr,1951,-0.5100000000000016,29.5
Jharkhand,East,May,1951,0.08000000000000185,31.47
Jharkhand,East,Jun,1951,0.15000000000000213,30.49
Jharkhand,East,Jul,1951,-0.05000000000000071,27.73
Jharkhand,East,Aug,1951,0.19000000000000128,27.41
Jharkhand,East,Sep,1951,0.0799999999999983,27.12
Jharkhand,East,Oct,1951,0.9100000000000001,25.36
Jharkhand,East,Nov,1951,-0.00999999999999801,21.18
Jharkhand,East,Dec,1951,0.0,17.47
Jharkhand,East,Annual,1951,-0.05999999999999872,24.97
Jharkhand,East,Winter,1951,-0.5699999999999967,18.49
Jharkhand,East,Summer,1951,-0.2699999999999996,28.62
Jharkhand,East,Monsoon,1951,0.08999999999999986,28.19
Jharkhand,East,Post Monsoon,1951,0.3000000000000007,21.34
Karnataka,South,Jan,1951,-0.639999999999997,23.33
Karnataka,South,Feb,1951,-1.0199999999999996,25.45
